CO_TAZID,zip5
1003,84713
1005,84713
1006,84713
1015,84713
1010,84713
1016,84713
1036,84713
1029,84713
1024,84713
1026,84713
1031,84713
1034,84713
1032,84713
1037,84713
1046,84713
1060,84713
1055,84713
1018,84713
1021,84713
1047,84713
1052,84713
1058,84713
1028,84713
1040,84713
1044,84713
1048,84713
1030,84713
1002,84713
1004,84713
1027,84713
1051,84713
1025,84713
1019,84713
1049,84713
1022,84713
1001,84713
1007,84713
1008,84713
1009,84713
1014,84713
1011,84713
1012,84713
1013,84713
1023,84713
1020,84713
1053,84713
1017,84713
1050,84713
1059,84713
1066,84751
1062,84751
1064,84751
1120,84751
1121,84751
1092,84751
1109,84751
1110,84751
1114,84751
1069,84751
1113,84751
1108,84751
1116,84751
1068,84751
1076,84751
1063,84751
1065,84751
1084,84751
1087,84751
1086,84751
1085,84751
1089,84751
1081,84751
1083,84751
1082,84751
1112,84751
1088,84751
1119,84751
1070,84751
1078,84751
1071,84751
1067,84751
1075,84751
1074,84751
1079,84751
1080,84751
1077,84751
1073,84751
1072,84751
1093,84751
1091,84751
1111,84751
1117,84751
1090,84751
1098,84752
1101,84752
1094,84752
1118,84752
1099,84752
1107,84752
1105,84752
1106,84752
1115,84752
1102,84752
1104,84752
1103,84752
1097,84752
1100,84752
1096,84752
1095,84752
1061,84752
1041,84731
1039,84731
1043,84731
1057,84731
1033,84731
1035,84731
1042,84731
1045,84731
1038,84731
1054,84731
1056,84731
3294,84329
3298,84329
3296,84329
3291,84329
3265,84336
3271,84336
3270,84336
3263,84336
3268,84336
3266,84336
3269,84336
3273,84336
3274,84336
3272,84336
3264,84336
3262,84336
3288,84307
3285,84307
3293,84307
3290,84307
3237,84307
3241,84307
3244,84307
3287,84307
3243,84307
3231,84307
3258,84307
3235,84307
3280,84307
3226,84307
3236,84307
3242,84307
3240,84307
3247,84307
3250,84307
3249,84307
3255,84307
3253,84307
3256,84307
3254,84307
3239,84307
3238,84307
3245,84307
3252,84307
3248,84307
3223,84307
3224,84307
3232,84307
3251,84307
3233,84307
3227,84307
3282,84307
3246,84307
3161,84307
3228,84307
3234,84307
3230,84307
3229,84307
3257,84307
3261,84307
3267,84331
3278,84331
3277,84331
3012,84331
3001,84331
3279,84331
3276,84331
3004,84331
3007,84331
3002,84331
3009,84331
3005,84331
3010,84331
3011,84331
3015,84331
3016,84331
3025,84331
3021,84331
3014,84331
3281,84331
3020,84331
3003,84331
3006,84331
3286,84337
3141,84337
3136,84337
3284,84337
3114,84337
3115,84337
3116,84337
3123,84337
3109,84337
3130,84337
3124,84337
3125,84337
3131,84337
3163,84337
3164,84337
3166,84337
3134,84337
3170,84337
3167,84337
3128,84337
3117,84337
3118,84337
3119,84337
3112,84337
3120,84337
3111,84337
3108,84337
3110,84337
3121,84337
3129,84337
3132,84337
3152,84337
3150,84337
3176,84337
3133,84337
3177,84337
3216,84337
3218,84337
3159,84337
3153,84337
3158,84337
3103,84337
3143,84337
3147,84337
3151,84337
3148,84337
3140,84337
3142,84337
3113,84337
3139,84337
3137,84337
3138,84337
3145,84337
3146,84337
3135,84337
3144,84337
3155,84337
3157,84337
3156,84337
3160,84337
3174,84337
3175,84337
3149,84337
3179,84337
3180,84337
3171,84337
3172,84337
3181,84337
3165,84337
3169,84337
3168,84337
3162,84337
3107,84337
3122,84337
3127,84337
3126,84337
3154,84337
3173,84337
3221,84337
3219,84337
3217,84337
3178,84337
3215,84337
3283,84316
3275,84316
3008,84330
3013,84330
3018,84330
3019,84330
3017,84330
3023,84330
3024,84330
3022,84330
3026,84330
3028,84330
3029,84330
3027,84330
3030,84330
3292,84404
570001,84404
570002,84404
570003,84404
570004,84404
570005,84404
570006,84404
570007,84404
570008,84404
570009,84404
570010,84404
570011,84404
570012,84404
570013,84404
570014,84404
570015,84404
570016,84404
570017,84404
570018,84404
570019,84404
570020,84404
570021,84404
570022,84404
570023,84404
570024,84404
570025,84404
570026,84404
570034,84404
570035,84404
570041,84404
570046,84404
570047,84404
570048,84404
570049,84404
570050,84404
570051,84404
570052,84404
570053,84404
570054,84404
570055,84404
570056,84404
570057,84404
570058,84404
570059,84404
570060,84404
570061,84404
570062,84404
570063,84404
570064,84404
570065,84404
570066,84404
570067,84404
570068,84404
570069,84404
570070,84404
570071,84404
570072,84404
570073,84404
570074,84404
570075,84404
570076,84404
570077,84404
570078,84404
570079,84404
570080,84404
570081,84404
570082,84404
570083,84404
570084,84404
570085,84404
570091,84404
570099,84404
570104,84404
570133,84404
570134,84404
570136,84404
570137,84404
570139,84404
570140,84404
570141,84404
570142,84404
570143,84404
570144,84404
570145,84404
570146,84404
570147,84404
570148,84404
570149,84404
570150,84404
570151,84404
570152,84404
570153,84404
570154,84404
570155,84404
570156,84404
570158,84404
570159,84404
570160,84404
570161,84404
570162,84404
